ID,Kernel Name,Compute throughput,SM,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
0,layer_norm_grad_input_kernel_vectorized,36.48,108,66.23,66.23,65.35,75,44.48,53.59
1,GammaBetaBackwardCUDAKernel_32x32,12.01,108,37.70,37.70,49.91,100,0.09,15.86
2,vectorized_elementwise_kernel,0.02,108,0.38,0.08,6.21,100,0,91.14
3,vectorized_elementwise_kernel,0.02,108,0.48,0.09,6.20,100,0,91.66
4,vectorized_elementwise_kernel,15.22,108,68.41,68.41,84.78,100,0,54.05
5,ampere_sgemm_128x64_tn,95.86,108,48.14,2.05,23.96,25,0.36,98.57
6,ampere_sgemm_128x128_nt,98.50,108,31.89,3.96,23.45,25,0.04,78.15
7,reduce_kernel,8.83,108,31.04,31.04,41.50,62.50,8.32,6.72
8,vectorized_elementwise_kernel,0.02,108,0.45,0.08,6.21,100,0,90.54
9,vectorized_elementwise_kernel,7.08,108,38.02,38.02,74.08,100,0,52.10
10,vectorized_elementwise_kernel,6.44,108,87.28,87.28,92.47,100,0,49.03
11,vectorized_elementwise_kernel,6.46,108,87.01,87.01,92.47,100,0,48.77
12,vectorized_elementwise_kernel,7.85,108,87.22,87.22,92.28,100,0,48.61
13,vectorized_elementwise_kernel,8.53,108,84.33,84.33,88.70,100,0,61.60
14,vectorized_elementwise_kernel,8.52,108,83.94,83.94,89.36,100,0,61.69
15,vectorized_elementwise_kernel,8.49,108,83.72,83.72,89.22,100,0,61.39
16,vectorized_elementwise_kernel,8.54,108,84.63,84.63,89.32,100,0,61.63
17,vectorized_elementwise_kernel,6.43,108,87.02,87.02,92.44,100,0,48.74
18,vectorized_elementwise_kernel,6.45,108,85.61,85.61,91.65,100,27.60,44.46
19,vectorized_elementwise_kernel,8.56,108,84.30,84.30,89.41,100,0,61.56
20,vectorized_elementwise_kernel,6.44,108,86.16,86.16,91.86,100,27.58,44.19
21,ampere_sgemm_128x32_tn,89.09,108,80.33,2.37,45.63,50,0.13,96.84
22,ampere_sgemm_64x32_sliced1x4_nt,92.88,108,52.96,6.37,23.88,25,0.08,82.71
23,reduce_kernel,11.42,108,57.64,57.64,56.47,62.50,4.90,21.04
24,vectorized_elementwise_kernel,0.04,108,0.61,0.21,6.09,100,0,83.35
25,vectorized_elementwise_kernel,7.06,108,43.94,36.94,73.61,100,0,51.93
26,layer_norm_grad_input_kernel_vectorized,37.46,108,65.19,65.19,65.05,75,44.37,53.85
27,GammaBetaBackwardCUDAKernel_32x32,12.18,108,37.69,37.69,49.91,100,0.09,19.51
28,vectorized_elementwise_kernel,6.51,108,71.23,71.23,87.89,100,29.64,40.94
29,vectorized_elementwise_kernel,0.02,108,0.45,0.08,6.20,100,0,89.32
30,vectorized_elementwise_kernel,0.02,108,0.45,0.08,6.19,100,0,90.11
31,vectorized_elementwise_kernel,15.00,108,67.70,67.70,84.89,100,0,54.65
32,ampere_sgemm_128x32_tn,87.72,108,80.17,2.45,45.64,50,0.51,97.31
33,ampere_sgemm_64x32_sliced1x4_nt,81.89,108,46.67,5.96,20.83,25,0.09,81.45
34,reduce_kernel,8.90,108,32.28,32.28,41.63,62.50,8.26,6.90
35,vectorized_elementwise_kernel,0.02,108,0.48,0.09,6.21,100,0,91.33
36,vectorized_elementwise_kernel,4.06,108,19.38,18.82,42.75,100,0,53.54
37,vectorized_elementwise_kernel,6.29,108,73.81,73.81,87.85,100,0,45.97
38,reduce_kernel,75.85,108,23.99,23.99,90.14,100,10.44,8.79
39,elementwise_kernel,6.03,108,12.26,3.17,20.23,100,0,87.05
40,vectorized_elementwise_kernel,14.20,108,24.14,4.80,9.08,100,0,99.98
41,fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80,37.22,108,30.32,11.32,12.17,12.50,16.97,81.49
42,CatArrayBatchedCopy_aligned16_contig,57.70,108,74.29,74.29,90.97,100,60.00,62.95
43,ampere_sgemm_128x32_tn,88.62,108,80.01,2.19,45.65,50,0.18,97.19
44,ampere_sgemm_128x32_sliced1x4_nt,98.08,108,40.39,4.95,12.50,12.50,0,84.46
45,reduce_kernel,11.75,108,50.03,50.03,56.25,62.50,6.37,20.02
46,vectorized_elementwise_kernel,0.04,108,0.54,0.17,6.17,100,0,85.60
47,vectorized_elementwise_kernel,6.24,108,33.38,33.38,66.77,100,0,52.07
48,layer_norm_grad_input_kernel_vectorized,37.31,108,65.56,65.56,65.17,75,44.63,54.05
49,GammaBetaBackwardCUDAKernel_32x32,12.01,108,37.75,37.75,49.91,100,0.09,18.71
50,vectorized_elementwise_kernel,6.39,108,71.70,71.70,87.71,100,29.33,40.86
51,vectorized_elementwise_kernel,0.02,108,0.42,0.08,6.20,100,0,89.67
52,vectorized_elementwise_kernel,0.02,108,0.47,0.08,6.20,100,0,88.15
53,vectorized_elementwise_kernel,15.28,108,68.69,68.69,85.08,100,0,54.68
54,ampere_sgemm_128x64_tn,95.86,108,48.15,2.05,23.96,25,0.36,98.52
55,ampere_sgemm_128x128_nt,98.50,108,31.89,3.97,23.45,25,0.04,78.42
56,reduce_kernel,9.06,108,31.32,31.32,41.37,62.50,8.30,7.49
57,vectorized_elementwise_kernel,0.02,108,0.46,0.08,6.22,100,0,89.66
58,vectorized_elementwise_kernel,7.09,108,44.47,37.33,73.38,100,0,51.29
59,vectorized_elementwise_kernel,6.44,108,86.67,86.67,92.50,100,0,49.03
60,vectorized_elementwise_kernel,6.44,108,86.93,86.93,92.49,100,0,48.92
61,vectorized_elementwise_kernel,7.82,108,87.32,87.32,92.02,100,0,48.54
62,vectorized_elementwise_kernel,8.58,108,83.60,83.60,89.34,100,0,61.85
63,vectorized_elementwise_kernel,8.58,108,84.37,84.37,88.62,100,0,61.48
64,vectorized_elementwise_kernel,8.57,108,83.88,83.88,89.23,100,0,61.56
65,vectorized_elementwise_kernel,8.49,108,84.59,84.59,89.32,100,0,61.84
66,vectorized_elementwise_kernel,6.46,108,86.98,86.98,92.53,100,0,48.80
67,vectorized_elementwise_kernel,6.45,108,86.09,86.09,92.40,100,27.70,44.20
68,vectorized_elementwise_kernel,8.57,108,83.95,83.95,88.59,100,0,61.64
69,vectorized_elementwise_kernel,6.43,108,85.89,85.89,92.46,100,27.45,44.27
70,ampere_sgemm_128x32_tn,89.02,108,80.26,2.37,45.63,50,0.13,96.87
71,ampere_sgemm_64x32_sliced1x4_nt,92.95,108,53.00,6.37,23.88,25,0.08,82.63
72,reduce_kernel,11.20,108,57.30,57.30,55.79,62.50,4.91,20.84
73,vectorized_elementwise_kernel,0.04,108,0.64,0.22,6.15,100,0,85.88
74,vectorized_elementwise_kernel,7.12,108,45.38,38.14,73.74,100,0,51.71
75,layer_norm_grad_input_kernel_vectorized,37.24,108,64.95,64.95,65.30,75,44.65,54.19
76,GammaBetaBackwardCUDAKernel_32x32,12.12,108,38.33,38.33,49.92,100,0.09,18.43
77,vectorized_elementwise_kernel,6.54,108,70.99,70.99,87.89,100,29.30,40.29
78,vectorized_elementwise_kernel,0.02,108,0.45,0.08,6.21,100,0,89.13
79,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.09,100,0,89.66
80,vectorized_elementwise_kernel,14.99,108,67.00,67.00,84.47,100,0,54.23
81,ampere_sgemm_128x32_tn,87.73,108,80.17,2.44,45.64,50,0.52,97.40
82,ampere_sgemm_64x32_sliced1x4_nt,82.26,108,46.88,5.97,20.83,25,0.08,81.52
83,reduce_kernel,9.05,108,32.42,32.42,41.65,62.50,8.27,6.96
84,vectorized_elementwise_kernel,0.02,108,0.47,0.09,6.22,100,0,92.33
85,vectorized_elementwise_kernel,4.02,108,19.16,18.66,42.60,100,0,53.79
86,vectorized_elementwise_kernel,6.24,108,74.37,74.37,87.86,100,0,46.00
87,reduce_kernel,75.82,108,23.99,23.99,90.14,100,10.44,8.71
