id,kShortName,kDemangledName,ground_truth,duration,overlap_ratio,slowdown,ID,Kernel Name,Compute throughput,SM,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
1,layer_norm_grad_input_kernel_vectorized,"void at::native::<unnamed>::layer_norm_grad_input_kernel_vectorized<float, float>(const T1 *, const T1 *, const T2 *, const T2 *, const T1 *, T1 *, int)",68257,70656,0.0,0.0,0,layer_norm_grad_input_kernel_vectorized,36.48,108,66.23,66.23,65.35,75.0,44.48,53.59
2,GammaBetaBackwardCUDAKernel_32x32,"void at::native::<unnamed>::GammaBetaBackwardCUDAKernel_32x32<float, float>(long, long, const T1 *, const T1 *, const T2 *, const T2 *, T1 *, T1 *)",100098,97474,0.0,0.0,1,GammaBetaBackwardCUDAKernel_32x32,12.01,108,37.7,37.7,49.91,100.0,0.09,15.86
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4160,4192,0.0,0.0,2,vectorized_elementwise_kernel,0.02,108,0.38,0.08,6.21,100.0,0.0,91.14
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",3840,3872,0.0,0.0,3,vectorized_elementwise_kernel,0.02,108,0.48,0.09,6.2,100.0,0.0,91.66
5,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::masked_scale_kernel<bool, float, float>(at::Tensor &, const at::Tensor &, const at::Tensor &, T3)::[lambda(float, bool) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",38529,38081,0.0,0.0,4,vectorized_elementwise_kernel,15.22,108,68.41,68.41,84.78,100.0,0.0,54.05
6,ampere_sgemm_128x64_tn,ampere_sgemm_128x64_tn,3817473,3817472,0.0,0.0,5,ampere_sgemm_128x64_tn,95.86,108,48.14,2.05,23.96,25.0,0.36,98.57
7,ampere_sgemm_128x128_nt,ampere_sgemm_128x128_nt,3723488,3722847,0.0,0.0,6,ampere_sgemm_128x128_nt,98.5,108,31.89,3.96,23.45,25.0,0.04,78.15
8,reduce_kernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",52417,49953,0.0,0.0,7,reduce_kernel,8.83,108,31.04,31.04,41.5,62.5,8.32,6.72
9,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4480,4353,0.0,0.0,8,vectorized_elementwise_kernel,0.02,108,0.45,0.08,6.21,100.0,0.0,90.54
10,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",16193,15968,0.0,0.0,9,vectorized_elementwise_kernel,7.08,108,38.02,38.02,74.08,100.0,0.0,52.1
11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)",215171,220515,0.04571117611046868,0.5433257845199976,10,vectorized_elementwise_kernel,6.44,108,87.28,87.28,92.47,100.0,0.0,49.03
12,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)",221540,525736,1.0,1.373097409045771,11,vectorized_elementwise_kernel,6.46,108,87.01,87.01,92.47,100.0,0.0,48.77
13,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::tanh_backward_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",221220,285317,1.0,0.289743242021517,12,vectorized_elementwise_kernel,7.85,108,87.22,87.22,92.28,100.0,0.0,48.61
14,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",146242,183812,1.0,0.256902941699375,13,vectorized_elementwise_kernel,8.53,108,84.33,84.33,88.7,100.0,0.0,61.6
15,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",149603,157634,1.0,0.05368207856794316,14,vectorized_elementwise_kernel,8.52,108,83.94,83.94,89.36,100.0,0.0,61.69
16,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",149698,149987,0.5205917846213338,0.003708382597342079,15,vectorized_elementwise_kernel,8.49,108,83.72,83.72,89.22,100.0,0.0,61.39
17,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",149187,150146,0.0,0.0,16,vectorized_elementwise_kernel,8.54,108,84.63,84.63,89.32,100.0,0.0,61.63
18,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)",224772,223300,0.0,0.0,17,vectorized_elementwise_kernel,6.43,108,87.02,87.02,92.44,100.0,0.0,48.74
19,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",218788,219972,0.0,0.0,18,vectorized_elementwise_kernel,6.45,108,85.61,85.61,91.65,100.0,27.6,44.46
20,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",149346,149506,0.0,0.0,19,vectorized_elementwise_kernel,8.56,108,84.3,84.3,89.41,100.0,0.0,61.56
21,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)",222084,224612,0.0,0.0,20,vectorized_elementwise_kernel,6.44,108,86.16,86.16,91.86,100.0,27.58,44.19
22,ampere_sgemm_128x32_tn,ampere_sgemm_128x32_tn,4109607,4107686,0.0,0.0,21,ampere_sgemm_128x32_tn,89.09,108,80.33,2.37,45.63,50.0,0.13,96.84
23,ampere_sgemm_64x32_sliced1x4_nt,ampere_sgemm_64x32_sliced1x4_nt,3936899,3938434,0.0,0.0,22,ampere_sgemm_64x32_sliced1x4_nt,92.88,108,52.96,6.37,23.88,25.0,0.08,82.71
24,reduce_kernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",124066,124643,0.0,0.0,23,reduce_kernel,11.42,108,57.64,57.64,56.47,62.5,4.9,21.04
25,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",4000,4000,0.0,0.0,24,vectorized_elementwise_kernel,0.04,108,0.61,0.21,6.09,100.0,0.0,83.35
