Kernel Name,Compute throughput,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
distribution_elementwise_grid_stride_kernel,1.70,9.21,0.06,12.20,50,47.40,99.02
distribution_elementwise_grid_stride_kernel,63.20,19.81,1.80,43.51,50,43.99,100.01
elementwise_kernel,69.56,26.06,26.06,88.96,100,46.01,52.21
vectorized_elementwise_kernel,21.22,53.00,53.00,52.64,100,0,50.87
vectorized_elementwise_kernel,20.20,50.27,50.27,53.55,100,0,51.19
vectorized_elementwise_kernel,20.89,52.44,52.44,53.13,100,0,51.48
vectorized_elementwise_kernel,21.47,79.10,79.10,79.17,100,0,35.95
vectorized_elementwise_kernel,25.80,51.64,51.64,54.07,100,0,52.50
vectorized_elementwise_kernel,21.41,78.87,78.87,78.32,100,0,36.75
vectorized_elementwise_kernel,64.79,45.13,45.13,81.88,100,0,53.01
vectorized_elementwise_kernel,25.46,51.35,51.35,51.40,100,0,53.79
vectorized_elementwise_kernel,21.27,78.09,78.09,73.76,100,0,37.33
elementwise_kernel,70.69,26.48,26.48,88.96,100,46.02,56.00
vectorized_elementwise_kernel,20.70,51.54,51.54,55.51,100,0,56.23
vectorized_elementwise_kernel,20.97,51.61,51.61,52.99,100,0,55.42
vectorized_elementwise_kernel,19.82,48.90,48.90,53.86,100,0,56.69
vectorized_elementwise_kernel,21.17,77.32,77.32,78.99,100,0,40.86
vectorized_elementwise_kernel,25.96,51.68,51.68,54.94,100,0,55.99
vectorized_elementwise_kernel,21.14,77.61,77.61,78.39,100,0,40.23
vectorized_elementwise_kernel,63.99,43.74,43.74,81.84,100,0,53.72
vectorized_elementwise_kernel,25.86,52.87,52.87,52.15,100,0,54.38
vectorized_elementwise_kernel,20.38,74.23,74.23,77.59,100,0,39.64
kernel1,29.37,73.53,73.53,77.36,100,6.62,90.82
kernel1,30.59,76.30,76.30,79.41,100,6.17,90.50
kernel1,30.11,75.52,75.52,79.87,100,6.21,89.71
elementwise_kernel,71.34,26.51,26.51,88.77,100,46.14,54.03
vectorized_elementwise_kernel,20.97,52.67,52.67,52.40,100,0,52.73
vectorized_elementwise_kernel,21.06,52.35,52.35,53.16,100,0,52.83
vectorized_elementwise_kernel,20.99,52.48,52.48,52.47,100,0,52.47
vectorized_elementwise_kernel,21.38,78.45,78.45,79.77,100,0,36.42
vectorized_elementwise_kernel,26.31,52.26,52.26,55.07,100,0,54.12
vectorized_elementwise_kernel,21.16,77.85,77.85,79.07,100,0,37.45
vectorized_elementwise_kernel,65.53,44.83,44.83,82.18,100,0,52.48
vectorized_elementwise_kernel,26.12,52.66,52.66,52.60,100,0,52.54
vectorized_elementwise_kernel,21.06,77.83,77.83,76.71,100,0,37.53
elementwise_kernel,70.58,26.15,26.15,88.66,100,46.13,55.19
vectorized_elementwise_kernel,20.68,51.44,51.44,52.02,100,0,55.39
vectorized_elementwise_kernel,20.94,51.74,51.74,52.52,100,0,56.08
vectorized_elementwise_kernel,21.01,52.66,52.66,53.02,100,0,55.96
vectorized_elementwise_kernel,21.54,78.48,78.48,79.61,100,0,42.25
vectorized_elementwise_kernel,26.16,52.13,52.13,52.04,100,0,55.75
vectorized_elementwise_kernel,21.43,78.12,78.12,79.18,100,0,39.82
vectorized_elementwise_kernel,65.43,44.66,44.66,81.78,100,0,54.66
vectorized_elementwise_kernel,25.74,51.68,51.68,51.92,100,0,54.53
vectorized_elementwise_kernel,21.60,78.64,78.64,81.14,100,0,39.72
