Kernel Name,Compute throughput,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
distribution_elementwise_grid_stride_kernel,0.22,9.31,0.06,12.32,50,45.83,99.00
distribution_elementwise_grid_stride_kernel,34.24,6.90,0.04,41.76,50,46.31,99.39
elementwise_kernel,6.36,6.63,1.81,17.61,100,33.36,78.51
vectorized_elementwise_kernel,2.85,11.17,3.45,16.65,100,0,78.10
vectorized_elementwise_kernel,2.92,11.55,3.54,19.76,100,0,78.41
vectorized_elementwise_kernel,2.90,11.40,3.48,16.63,100,0,78.16
vectorized_elementwise_kernel,2.85,10.66,5.96,17.60,100,0,63.79
vectorized_elementwise_kernel,3.39,11.28,3.46,16.37,100,0,77.52
vectorized_elementwise_kernel,3.23,11.93,6.72,16.74,100,0,63.06
vectorized_elementwise_kernel,5.29,9.63,2.94,16.79,100,0,77.69
vectorized_elementwise_kernel,3.16,10.59,3.24,17.26,100,0,77.51
vectorized_elementwise_kernel,3.05,11.30,6.37,16.71,100,0,62.88
elementwise_kernel,7.44,7.95,2.12,15.90,100,33.69,76.80
vectorized_elementwise_kernel,2.42,9.44,2.92,19.00,100,0,76.54
vectorized_elementwise_kernel,2.78,10.96,3.36,16.71,100,0,77.53
vectorized_elementwise_kernel,2.84,11.17,3.43,16.61,100,0,77.41
vectorized_elementwise_kernel,3.10,11.57,6.45,20.53,100,0,63.58
vectorized_elementwise_kernel,3.22,10.91,3.31,14.28,100,0,78.51
vectorized_elementwise_kernel,3.05,11.26,6.37,16.61,100,0,62.87
vectorized_elementwise_kernel,4.92,8.91,2.74,18.85,100,0,77.45
vectorized_elementwise_kernel,3.29,10.90,3.36,15.28,100,0,77.06
vectorized_elementwise_kernel,3.06,11.33,6.40,16.79,100,0,62.78
kernel1,8.79,18.67,2.46,18.98,100,7.08,90.87
kernel1,8.80,18.84,2.47,18.82,100,7.08,92.41
kernel1,8.78,18.83,2.46,18.90,100,7.08,91.27
elementwise_kernel,7.03,7.45,2.00,17.22,100,33.45,78.37
vectorized_elementwise_kernel,2.76,10.96,3.34,16.62,100,0,77.29
vectorized_elementwise_kernel,2.75,10.88,3.31,19.92,100,0,76.98
vectorized_elementwise_kernel,2.84,11.26,3.43,16.47,100,0,77.31
vectorized_elementwise_kernel,3.11,11.70,6.52,14.37,100,0,63.11
vectorized_elementwise_kernel,3.43,11.55,3.51,16.50,100,0,77.51
vectorized_elementwise_kernel,3.24,11.97,6.78,16.51,100,0,62.79
vectorized_elementwise_kernel,5.44,9.96,3.02,17.39,100,0,77.52
vectorized_elementwise_kernel,3.32,11.02,3.42,15.60,100,0,76.76
vectorized_elementwise_kernel,3.06,11.47,6.41,16.14,100,0,62.72
elementwise_kernel,6.87,7.32,1.95,16.13,100,33.37,78.59
vectorized_elementwise_kernel,2.80,11.13,3.37,16.28,100,0,77.71
vectorized_elementwise_kernel,2.63,10.38,3.17,18.32,100,0,77.04
vectorized_elementwise_kernel,2.81,11.13,3.38,19.63,100,0,77.27
vectorized_elementwise_kernel,3.08,11.55,6.42,17.12,100,0,62.93
