ID,Kernel Name,Compute throughput,SM,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
0,layer_norm_grad_input_kernel,51.68,132,64.90,61.52,89.79,100,79.58,37.60
1,GammaBetaBackwardCUDAKernel_32x32,9.36,132,35.12,35.12,50.20,100,0.09,4.94
2,vectorized_elementwise_kernel,0.01,132,8.47,0.06,6.19,100,0,99.06
3,vectorized_elementwise_kernel,0.02,132,10.43,0.07,6.68,100,0,99.07
4,vectorized_elementwise_kernel,15.09,132,66.30,66.30,82.48,100,0,47.56
5,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,86.16,132,67.37,7.73,12.45,12.50,12.69,89.18
6,Kernel,85.35,132,35.58,6.23,12.47,12.50,7.08,71.65
7,reduce_kernel,7.82,132,30.27,30.27,36.85,56.25,7.39,11.43
8,vectorized_elementwise_kernel,0.02,132,9.80,0.06,6.77,100,0,99.17
9,vectorized_elementwise_kernel,9.72,132,35.75,35.75,73.61,100,0,52.77
10,vectorized_elementwise_kernel,9.89,132,89.21,89.21,87.46,100,0,37.27
11,vectorized_elementwise_kernel,9.88,132,88.90,88.90,87.80,100,0,36.75
12,vectorized_elementwise_kernel,9.81,132,88.55,88.55,87.15,100,0,37.06
13,vectorized_elementwise_kernel,11.57,132,82.20,82.20,82.53,100,0,52.95
14,vectorized_elementwise_kernel,11.78,132,84.05,84.05,83.36,100,0,52.50
15,vectorized_elementwise_kernel,11.79,132,83.80,83.80,84.80,100,0,52.35
16,vectorized_elementwise_kernel,11.75,132,83.52,83.52,84.12,100,0,53.22
17,vectorized_elementwise_kernel,9.93,132,89.48,89.48,86.75,100,0,36.63
18,vectorized_elementwise_kernel,9.93,132,88.86,88.86,87.02,100,23.29,35.38
19,vectorized_elementwise_kernel,11.77,132,83.93,83.93,84.21,100,0,53.36
20,vectorized_elementwise_kernel,9.91,132,88.53,88.53,85.83,100,24.46,35.57
21,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,80.86,132,63.54,30.84,12.46,12.50,9.86,60.50
22,Kernel,85.28,132,35.55,6.85,12.47,12.50,7.08,70.05
23,reduce_kernel,12.07,132,60.09,60.09,50.31,56.25,5.57,7.03
24,vectorized_elementwise_kernel,0.05,132,9.02,0.14,6.28,100,0,98.04
25,vectorized_elementwise_kernel,9.60,132,35.33,35.33,69.37,100,0,52.30
26,layer_norm_grad_input_kernel,52.83,132,66.23,61.44,88.67,100,79.76,39.00
27,GammaBetaBackwardCUDAKernel_32x32,9.45,132,35.33,35.33,50.33,100,0.09,10.98
28,vectorized_elementwise_kernel,10.69,132,74.21,74.21,82.35,100,29.42,37.95
29,vectorized_elementwise_kernel,0.01,132,9.53,0.06,7.03,100,0,99.10
30,vectorized_elementwise_kernel,0.02,132,9.79,0.06,5.75,100,0,99.12
31,vectorized_elementwise_kernel,15.01,132,65.69,65.69,78.86,100,0,49.97
32,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x64x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,77.00,132,73.67,9.26,12.35,12.50,0.87,87.29
33,Kernel,85.45,132,35.03,6.29,12.51,12.50,0,64.31
34,splitKreduce_kernel,17.23,132,40.76,40.76,85.45,100,0,19.31
35,reduce_kernel,7.94,132,30.75,30.75,35.79,56.25,7.38,14.18
36,vectorized_elementwise_kernel,0.02,132,9.84,0.06,7.07,100,0,99.35
37,vectorized_elementwise_kernel,5.49,132,18.61,15.94,39.63,100,0,63.70
38,elementwise_kernel,63.88,132,37.89,37.89,83.53,100,0,55.93
39,sm80_xmma_gemm_f32f32_f32f32_f32_nt_n_tilesize128x64x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,84.05,132,58.60,40.25,12.24,12.50,0,23.53
40,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,64.42,132,51.29,26.25,12.40,12.50,0.77,93.38
41,vectorized_elementwise_kernel,14.15,132,89.13,89.13,85.39,100,0,47.59
42,vectorized_elementwise_kernel,9.77,132,91.36,91.36,87.98,100,0,35.54
43,softmax_warp_backward,13.53,132,90.67,90.67,50.96,56.25,0,35.34
44,vectorized_elementwise_kernel,0.01,132,11.48,0.04,5.60,100,0,99.56
45,elementwise_kernel,81.77,132,48.80,48.80,85.15,100,15.58,69.44
46,elementwise_kernel,67.39,132,61.12,61.12,86.28,100,11.11,50.43
